0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,198,0,44.3,198,443,0111001100,1
1,198,120,168.3,78,1683,0111001100,1
2,226,0,143.7,226,1437,0111001101,3
3,226,97,177.1,129,1771,0111001101,3
4,226,137,199.8,89,1998,0111001101,3
5,226,137,205.4,89,2054,0111001101,3
6,226,0,180.9,226,1809,0111001101,3
7,226,176,221.0,50,2210,0111001101,3
8,226,0,198.4,226,1984,0111001101,3
9,226,176,221.0,50,2210,0111001101,3
10,226,176,209.2,50,2092,0111001101,3
11,226,176,216.0,50,2160,0111001101,3
12,226,0,158.6,226,1586,0111001101,3
13,226,136,211.6,90,2116,0111001101,3
14,226,176,221.0,50,2210,0111001101,3
15,226,176,221.0,50,2210,0111001101,3
16,226,176,216.0,50,2160,0111001101,3
17,226,0,203.4,226,2034,0111001101,3
18,226,172,220.6,54,2206,0111001101,3
19,226,0,195.2,226,1952,0111001101,3

0.16691451008438224

