0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,181,0,49.0,181,490,1000111100,1
1,209,82,137.9,127,1379,1000111101,2
2,209,95,160.6,114,1606,1000111101,2
3,209,161,182.6,48,1826,1000111101,2
4,209,143,175.6,66,1756,1000111101,2
5,209,0,145.2,209,1452,1000111101,2
6,209,181,196.6,28,1966,1000111101,2
7,209,161,194.6,48,1946,1000111101,2
8,209,161,194.6,48,1946,1000111101,2
9,209,0,183.3,209,1833,1000111101,2
10,209,181,206.2,28,2062,1000111101,2
11,209,181,206.2,28,2062,1000111101,2
12,209,181,206.2,28,2062,1000111101,2
13,209,181,206.2,28,2062,1000111101,2
14,209,209,209.0,0,2090,1000111101,2

0.1871315348738457

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,203,0,84.4,203,844,1011101100,1
1,203,0,138.5,203,1385,1011101100,1
2,223,125,177.2,98,1772,0111101100,3
3,223,176,199.5,47,1995,0111101100,3
4,223,0,177.1,223,1771,0111101100,3
5,223,173,204.6,50,2046,0111101100,3
6,223,0,191.0,223,1910,0111101100,3
7,223,176,208.9,47,2089,0111101100,3
8,226,173,213.6,53,2136,0111001101,9
9,226,0,168.7,226,1687,0111001101,9
10,226,108,196.4,118,1964,0111001101,9
11,226,148,208.3,78,2083,0111001101,9
12,226,0,196.2,226,1962,0111001101,9
13,226,169,216.6,57,2166,0111001101,9
14,226,0,202.8,226,2028,0111001101,9
15,226,0,203.1,226,2031,0111001101,9
16,226,0,180.8,226,1808,0111001101,9
17,226,172,220.6,54,2206,0111001101,9
18,226,198,223.2,28,2232,0111001101,9
19,226,226,226.0,0,2260,0111001101,9

0.21546167180465403

