0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,181,0,76.8,181,768,1001101101,1
1,181,0,99.7,181,997,1001101101,1
2,198,130,172.2,68,1722,1010010110,3
3,198,0,159.1,198,1591,1010010110,3
4,198,0,148.5,198,1485,1010010110,3
5,198,0,157.7,198,1577,1010010110,3
6,198,0,168.0,198,1680,1010010110,3
7,198,0,171.5,198,1715,1010010110,3
8,198,0,134.3,198,1343,1010010110,3
9,198,148,168.5,50,1685,1010010110,3
10,198,148,181.0,50,1810,1010010110,3
11,198,178,196.0,20,1960,1010010110,3
12,198,0,178.2,198,1782,1010010110,3
13,198,0,178.2,198,1782,1010010110,3
14,198,0,178.2,198,1782,1010010110,3
15,198,198,198.0,0,1980,1010010110,3

0.23467305202197486

