0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,168,0,72.0,168,720,0101010001,1
1,188,68,133.1,120,1331,1101010001,2
2,218,111,168.6,107,1686,1111001100,3
3,218,0,167.7,218,1677,1111001100,3
4,226,160,205.4,66,2054,0111001101,5
5,226,160,208.4,66,2084,0111001101,5
6,226,0,179.4,226,1794,0111001101,5
7,226,0,182.6,226,1826,0111001101,5
8,226,160,209.0,66,2090,0111001101,5
9,226,0,166.4,226,1664,0111001101,5
10,226,196,214.4,30,2144,0111001101,5
11,226,196,220.2,30,2202,0111001101,5
12,226,180,221.4,46,2214,0111001101,5
13,226,180,218.6,46,2186,0111001101,5
14,226,180,221.4,46,2214,0111001101,5
15,226,226,226.0,0,2260,0111001101,5

0.25312127658682876

