0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,206,0,101.8,206,1018,1100001111,1
1,206,53,141.8,153,1418,1100001111,1
2,206,104,169.0,102,1690,1100011001,3
3,218,124,186.6,94,1866,0110001011,4
4,218,0,174.6,218,1746,0110001011,4
5,218,0,164.2,218,1642,0110001011,4
6,218,112,177.8,106,1778,0110001011,4
7,218,0,157.2,218,1572,0110001011,4
8,218,0,128.2,218,1282,0110001011,4
9,218,0,170.8,218,1708,0110001011,4
10,218,94,189.2,124,1892,0110001011,4
11,218,114,200.1,104,2001,0110001011,4
12,218,114,204.6,104,2046,0110001011,4
13,218,188,209.0,30,2090,0110001011,4
14,218,0,169.4,218,1694,0110001011,4
15,218,218,218.0,0,2180,0110001011,4

0.20031784765940921

