0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,184,0,124.3,184,1243,1110000011,1
1,184,0,144.7,184,1447,1110000011,1
2,184,56,152.9,128,1529,1110000011,1
3,184,0,123.4,184,1234,1110000011,1
4,202,0,147.2,202,1472,1110010001,5
5,202,0,144.8,202,1448,1110010001,5
6,202,94,170.2,108,1702,1110010001,5
7,202,112,176.6,90,1766,1110010001,5
8,202,0,147.0,202,1470,1110010001,5
9,202,138,187.4,64,1874,1110010001,5
10,202,0,159.8,202,1598,1110010001,5
11,202,202,202.0,0,2020,1110010001,5

0.1158055702610248

