0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,201,0,71.5,201,715,0100111100,1
1,201,84,147.7,117,1477,0100111100,1
2,201,0,116.3,201,1163,0100111100,1
3,201,36,169.2,165,1692,0100111100,1
4,201,0,124.5,201,1245,0100111100,1
5,226,76,179.8,150,1798,0110011100,6
6,226,147,192.3,79,1923,0110011100,6
7,226,147,194.8,79,1948,0110011100,6
8,226,147,191.9,79,1919,0110011100,6
9,226,0,171.9,226,1719,0110011100,6
10,226,0,159.4,226,1594,0110011100,6
11,226,122,206.3,104,2063,0110011100,6
12,226,162,209.2,64,2092,0110011100,6
13,226,0,192.0,226,1920,0110011100,6
14,226,176,221.0,50,2210,0110011100,6
15,226,172,215.6,54,2156,0110011100,6
16,226,176,216.0,50,2160,0110011100,6
17,226,0,203.4,226,2034,0110011100,6
18,226,176,221.0,50,2210,0110011100,6
19,226,176,221.0,50,2210,0110011100,6

0.14563268515970604

