0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,198,0,86.0,198,860,1100010011,1
1,198,0,146.9,198,1469,1100010011,1
2,198,0,143.7,198,1437,1100010011,1
3,198,112,177.2,86,1772,1100010011,1
4,198,0,136.2,198,1362,1100010011,1
5,198,0,167.0,198,1670,1100010011,1
6,200,158,186.4,42,1864,1111001000,7
7,200,0,168.6,200,1686,1111001000,7
8,200,0,156.8,200,1568,1111001000,7
9,200,178,194.4,22,1944,1111001000,7
10,200,178,194.4,22,1944,1111001000,7
11,224,170,199.2,54,1992,1100011101,12
12,224,200,207.2,24,2072,1100011101,12
13,224,0,162.8,224,1628,1100011101,12
14,224,178,212.2,46,2122,1100011101,12
15,224,178,210.2,46,2102,1100011101,12
16,224,0,188.4,224,1884,1100011101,12
17,224,150,207.8,74,2078,1100011101,12
18,224,0,169.8,224,1698,1100011101,12
19,224,184,208.0,40,2080,1100011101,12

0.15753762000477714

