0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,178,0,72.7,178,727,0100010011,1
1,178,0,122.4,178,1224,0100010011,1
2,198,0,143.9,198,1439,1100010011,3
3,198,0,114.5,198,1145,1100010011,3
4,198,101,161.5,97,1615,1100010011,3
5,198,104,168.3,94,1683,1100010011,3
6,198,0,145.0,198,1450,1100010011,3
7,198,170,187.2,28,1872,1100010011,3
8,198,170,186.4,28,1864,1100010011,3
9,198,0,146.8,198,1468,1100010011,3
10,198,170,193.2,28,1932,1100010011,3
11,198,0,176.2,198,1762,1100010011,3
12,198,134,187.6,64,1876,1100010011,3
13,198,0,163.4,198,1634,1100010011,3
14,198,134,185.2,64,1852,1100010011,3
15,198,0,159.0,198,1590,1100010011,3
16,198,0,171.8,198,1718,1100010011,3
17,198,0,178.2,198,1782,1100010011,3
18,198,0,178.2,198,1782,1100010011,3
19,198,170,195.2,28,1952,1100010011,3

0.5497869142586558

