0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,175,0,81.7,175,817,0010101101,1
1,175,0,130.4,175,1304,0010101101,1
2,175,139,160.3,36,1603,0010101101,1
3,175,0,130.8,175,1308,0010101101,1
4,175,129,163.0,46,1630,0010101101,1
5,175,125,167.2,50,1672,0010101101,1
6,175,125,170.0,50,1700,0010101101,1
7,175,175,175.0,0,1750,0010101101,1

0.06562894166716719

