0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,207,0,115.9,207,1159,0110100111,1
1,207,0,141.2,207,1412,0110100111,1
2,207,0,95.0,207,950,0110100111,1
3,207,122,172.5,85,1725,0110100111,1
4,226,122,176.4,104,1764,0110011100,5
5,226,0,159.6,226,1596,0110011100,5
6,226,133,204.2,93,2042,0110011100,5
7,226,0,159.4,226,1594,0110011100,5
8,226,0,161.5,226,1615,0110011100,5
9,226,176,221.0,50,2210,0110011100,5
10,226,226,226.0,0,2260,0110011100,5

0.08639547763752098

