0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,225,0,101.1,225,1011,0110110101,1
1,225,92,173.9,133,1739,0110110101,1
2,225,92,184.4,133,1844,0110110101,1
3,225,0,150.7,225,1507,0110110101,1
4,225,111,207.2,114,2072,0110110101,1
5,225,111,198.2,114,1982,0110110101,1
6,225,0,202.5,225,2025,0110110101,1
7,225,175,217.2,50,2172,0110110101,1
8,225,157,209.8,68,2098,0110110101,1
9,225,175,217.2,50,2172,0110110101,1
10,225,0,194.7,225,1947,0110110101,1
11,225,0,189.7,225,1897,0110110101,1
12,225,0,194.7,225,1947,0110110101,1
13,225,225,225.0,0,2250,0110110101,1

0.12107237092982488

