0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.4
population_size,30
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
23,5.018568704205561e-05,3.411921252857484e-05,4.5829083074673345e-05,0.0013748724922402003,1.6066474513480766e-05,"[22, 21, 1, 3, 2, 13, 17, 16, 11, 0, 10, 14, 12, 15, 8, 7, 18, 6, 4, 5, 9, 19, 20]",22
24,5.018568704205561e-05,3.592728317884602e-05,4.706675653191778e-05,0.0014120026959575334,1.425840386320959e-05,"[22, 21, 1, 3, 2, 13, 17, 16, 11, 0, 10, 14, 12, 15, 8, 7, 18, 6, 4, 5, 9, 19, 20]",22
25,5.1880674448767835e-05,3.365756790414325e-05,4.581233658378039e-05,0.0013743700975134118,1.822310654462459e-05,"[22, 21, 1, 3, 2, 13, 17, 16, 11, 7, 10, 14, 12, 15, 8, 0, 18, 6, 4, 5, 9, 19, 20]",25
26,5.1880674448767835e-05,3.2527729889730993e-05,4.4523006815624976e-05,0.0013356902044687493,1.9352944559036842e-05,"[22, 21, 1, 3, 2, 13, 17, 16, 11, 7, 10, 14, 12, 15, 8, 0, 18, 6, 4, 5, 9, 19, 20]",25
27,5.4291763939410394e-05,3.004536850644473e-05,4.402849827095877e-05,0.001320854948128763,2.4246395432965663e-05,"[22, 21, 18, 3, 2, 13, 17, 16, 11, 0, 10, 14, 12, 15, 8, 7, 1, 6, 4, 5, 9, 19, 20]",27
28,5.4291763939410394e-05,3.340906053721769e-05,4.463082969482011e-05,0.0013389248908446032,2.08827034021927e-05,"[22, 21, 18, 3, 2, 13, 17, 16, 11, 0, 10, 14, 12, 15, 8, 7, 1, 6, 4, 5, 9, 19, 20]",27
29,5.4291763939410394e-05,3.225494307002548e-05,4.54856003429353e-05,0.001364568010288059,2.2036820869384914e-05,"[22, 21, 18, 3, 2, 13, 17, 16, 11, 0, 10, 14, 12, 15, 8, 7, 1, 6, 4, 5, 9, 19, 20]",27
30,5.4291763939410394e-05,3.3901752720615655e-05,4.6710205679269066e-05,0.001401306170378072,2.039001121879474e-05,"[22, 21, 18, 3, 2, 13, 17, 16, 11, 0, 10, 14, 12, 15, 8, 7, 1, 6, 4, 5, 9, 19, 20]",27
31,5.6069526212503504e-05,3.0339805825242717e-05,4.586432742867595e-05,0.0013759298228602785,2.5729720387260787e-05,"[22, 21, 18, 3, 2, 12, 13, 16, 11, 0, 10, 14, 17, 15, 8, 7, 1, 6, 4, 5, 9, 19, 20]",31
32,5.6069526212503504e-05,3.649901452660778e-05,4.646981144562953e-05,0.001394094343368886,1.9570511685895725e-05,"[22, 21, 18, 3, 2, 12, 13, 16, 11, 0, 10, 14, 17, 15, 8, 7, 1, 6, 4, 5, 9, 19, 20]",31
33,5.6069526212503504e-05,3.676605757564616e-05,4.6645835214605097e-05,0.001399375056438153,1.9303468636857342e-05,"[22, 21, 18, 3, 2, 12, 13, 16, 11, 0, 10, 14, 17, 15, 8, 7, 1, 6, 4, 5, 9, 19, 20]",31
34,5.6069526212503504e-05,3.239915762190183e-05,4.7364507705903085e-05,0.0014209352311770926,2.3670368590601673e-05,"[22, 21, 18, 3, 2, 12, 13, 16, 11, 0, 10, 14, 17, 15, 8, 7, 1, 6, 4, 5, 9, 19, 20]",31
35,5.708088361207832e-05,3.134992789516584e-05,4.700796129578255e-05,0.0014102388388734766,2.5730955716912476e-05,"[22, 21, 18, 3, 2, 12, 13, 16, 11, 0, 10, 14, 17, 15, 8, 7, 4, 6, 1, 5, 9, 19, 20]",35
36,5.708088361207832e-05,3.676605757564616e-05,4.759901532340485e-05,0.0014279704597021455,2.0314826036432156e-05,"[22, 21, 18, 3, 2, 12, 13, 16, 11, 0, 10, 14, 17, 15, 8, 7, 4, 6, 1, 5, 9, 19, 20]",35
37,5.708088361207832e-05,3.875968992248062e-05,4.9335077209911575e-05,0.0014800523162973472,1.8321193689597696e-05,"[22, 21, 18, 3, 2, 12, 13, 16, 11, 0, 10, 14, 17, 15, 8, 7, 4, 6, 1, 5, 9, 19, 20]",35
38,5.728689275893676e-05,3.260621474453031e-05,4.712122235209621e-05,0.0014136366705628865,2.4680678014406447e-05,"[22, 21, 18, 3, 15, 12, 13, 16, 11, 14, 10, 0, 17, 2, 8, 7, 1, 6, 4, 5, 9, 19, 20]",38
39,5.728689275893676e-05,3.7220381881118104e-05,4.768066743422491e-05,0.0014304200230267473,2.0066510877818654e-05,"[22, 21, 18, 3, 15, 12, 13, 16, 11, 14, 10, 0, 17, 2, 8, 7, 1, 6, 4, 5, 9, 19, 20]",38
40,5.728689275893676e-05,3.351206434316354e-05,4.7214355889095936e-05,0.001416430676672878,2.3774828415773215e-05,"[22, 21, 18, 3, 15, 12, 13, 16, 11, 14, 10, 0, 17, 2, 8, 7, 1, 6, 4, 5, 9, 19, 20]",38
41,5.708088361207832e-05,3.351206434316354e-05,4.690995077889067e-05,0.0014072985233667202,2.3568819268914776e-05,"[22, 21, 18, 3, 2, 12, 13, 16, 11, 0, 10, 14, 17, 15, 8, 7, 4, 6, 1, 5, 9, 19, 20]",41
42,5.728689275893676e-05,3.351206434316354e-05,4.808806472133509e-05,0.0014426419416400525,2.3774828415773215e-05,"[22, 21, 18, 3, 15, 12, 13, 16, 11, 14, 10, 0, 17, 2, 8, 7, 1, 6, 4, 5, 9, 19, 20]",42
43,5.873715124816446e-05,3.351206434316354e-05,4.9793343714477327e-05,0.0014938003114343197,2.522508690500092e-05,"[22, 21, 1, 2, 3, 13, 17, 16, 11, 7, 10, 14, 12, 15, 4, 0, 18, 6, 8, 5, 9, 19, 20]",43
44,5.873715124816446e-05,3.363266404331887e-05,5.007768456116745e-05,0.0015023305368350236,2.510448720484559e-05,"[22, 21, 1, 2, 3, 13, 17, 16, 11, 7, 10, 14, 12, 15, 4, 0, 18, 6, 8, 5, 9, 19, 20]",43
45,5.873715124816446e-05,3.136172614940726e-05,4.921577825665873e-05,0.001476473347699762,2.73754250987572e-05,"[22, 21, 1, 2, 3, 13, 17, 16, 11, 7, 10, 14, 12, 15, 4, 0, 18, 6, 8, 5, 9, 19, 20]",43
46,6.13685179502915e-05,3.2047173439302654e-05,4.9885978779229826e-05,0.0014965793633768948,2.9321344510988848e-05,"[22, 21, 18, 2, 3, 12, 13, 16, 11, 0, 10, 14, 17, 15, 4, 7, 1, 9, 8, 5, 6, 19, 20]",46
47,6.13685179502915e-05,3.499317633061553e-05,5.181728553374727e-05,0.001554518566012418,2.6375341619675972e-05,"[22, 21, 18, 2, 3, 12, 13, 16, 11, 0, 10, 14, 17, 15, 4, 7, 1, 9, 8, 5, 6, 19, 20]",46
