0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.9
population_size,30
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
23,5.4054054054054054e-05,3.0079711234772145e-05,4.14351187978222e-05,0.001243053563934666,2.397434281928191e-05,"[19, 13, 16, 8, 5, 10, 9, 15, 3, 2, 1, 4, 18, 20, 22, 21, 7, 12, 11, 14, 17, 0, 6]",22
24,5.4054054054054054e-05,3.126074588139673e-05,4.118758303145957e-05,0.0012356274909437871,2.2793308172657325e-05,"[19, 13, 16, 8, 5, 10, 9, 15, 3, 2, 1, 4, 18, 20, 22, 21, 7, 12, 11, 14, 17, 0, 6]",22
25,5.4054054054054054e-05,2.8990549080999593e-05,4.0009079375267585e-05,0.0012002723812580276,2.506350497305446e-05,"[19, 13, 16, 8, 5, 10, 9, 15, 3, 2, 1, 4, 18, 20, 22, 21, 7, 12, 11, 14, 17, 0, 6]",22
26,5.4054054054054054e-05,3.033520400424693e-05,4.007189103191821e-05,0.0012021567309575462,2.3718850049807124e-05,"[19, 13, 16, 8, 5, 10, 9, 15, 3, 2, 1, 4, 18, 20, 22, 21, 7, 12, 11, 14, 17, 0, 6]",22
27,5.651633322030067e-05,2.9304888055327628e-05,3.923420015828576e-05,0.001177026004748573,2.721144516497304e-05,"[18, 13, 16, 0, 10, 12, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 11, 15, 14, 17, 9, 6]",27
28,5.651633322030067e-05,2.966830831305999e-05,4.194112533221219e-05,0.0012582337599663658,2.684802490724068e-05,"[18, 13, 16, 0, 10, 12, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 11, 15, 14, 17, 9, 6]",27
29,5.651633322030067e-05,3.194173826939662e-05,4.181577585213536e-05,0.0012544732755640608,2.4574594950904046e-05,"[18, 13, 16, 0, 10, 12, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 11, 15, 14, 17, 9, 6]",27
30,5.651633322030067e-05,3.081474177246395e-05,4.102010839695671e-05,0.0012306032519087014,2.570159144783672e-05,"[18, 13, 16, 0, 10, 12, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 11, 15, 14, 17, 9, 6]",27
31,5.651633322030067e-05,3.137845555241771e-05,4.273800224797759e-05,0.0012821400674393277,2.5137877667882957e-05,"[18, 13, 16, 0, 10, 12, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 11, 15, 14, 17, 9, 6]",27
32,5.651633322030067e-05,3.321155762205247e-05,4.5374074144847484e-05,0.0013612222243454244,2.3304775598248196e-05,"[18, 13, 16, 0, 10, 12, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 11, 15, 14, 17, 9, 6]",27
33,5.8072009291521487e-05,3.272251308900524e-05,4.449914368144745e-05,0.0013349743104434236,2.5349496202516248e-05,"[15, 13, 16, 0, 10, 12, 5, 8, 1, 2, 3, 4, 7, 20, 22, 21, 19, 11, 14, 18, 17, 9, 6]",33
34,5.8072009291521487e-05,3.268721602981074e-05,4.590799015011281e-05,0.0013772397045033844,2.5384793261710747e-05,"[15, 13, 16, 0, 10, 12, 5, 8, 1, 2, 3, 4, 7, 20, 22, 21, 19, 11, 14, 18, 17, 9, 6]",33
35,5.9070234508831e-05,3.0527826113502456e-05,4.298443263834595e-05,0.0012895329791503785,2.8542408395328547e-05,"[14, 13, 16, 0, 10, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 18, 17, 11, 6]",35
36,5.9070234508831e-05,3.038682427299523e-05,4.2476056709621616e-05,0.0012742817012886484,2.8683410235835773e-05,"[14, 13, 16, 0, 10, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 18, 17, 11, 6]",35
37,5.9070234508831e-05,3.335112059765208e-05,4.446623340019988e-05,0.0013339870020059965,2.571911391117892e-05,"[14, 13, 16, 0, 10, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 18, 17, 11, 6]",35
38,5.9070234508831e-05,3.1322433126605276e-05,4.359321524728937e-05,0.001307796457418681,2.7747801382225726e-05,"[14, 13, 16, 0, 10, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 18, 17, 11, 6]",35
39,5.9070234508831e-05,3.21853878339234e-05,4.239673619800667e-05,0.0012719020859402002,2.6884846674907602e-05,"[14, 13, 16, 0, 10, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 18, 17, 11, 6]",35
40,5.9070234508831e-05,3.0461800901669307e-05,4.18695458957677e-05,0.001256086376873031,2.8608433607161696e-05,"[14, 13, 16, 0, 10, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 18, 17, 11, 6]",35
41,6.044487427466151e-05,3.07607124180996e-05,4.1695801628740106e-05,0.0012508740488622033,2.9684161856561908e-05,"[18, 13, 16, 0, 10, 9, 5, 8, 1, 2, 3, 4, 7, 20, 22, 21, 19, 11, 12, 14, 17, 15, 6]",41
