0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.4
population_size,10
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
23,4.494584026248371e-05,3.9502271380604385e-05,4.2879317933204415e-05,0.0004287931793320442,5.443568881879323e-06,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 4, 6, 2, 1, 0, 19, 21, 22, 10, 7, 20, 17]",13
24,4.56183568267871e-05,4.2642104814293634e-05,4.432055192347329e-05,0.0004432055192347329,2.9762520124934676e-06,"[5, 10, 9, 16, 13, 12, 8, 3, 4, 14, 18, 15, 6, 2, 1, 0, 19, 21, 22, 11, 7, 20, 17]",24
25,4.57184656882915e-05,4.079301623562046e-05,4.406145626857431e-05,0.00044061456268574314,4.925449452671042e-06,"[5, 11, 14, 16, 13, 12, 8, 3, 15, 9, 19, 4, 6, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",25
26,4.57184656882915e-05,4.0290088638195005e-05,4.386073878867454e-05,0.00043860738788674544,5.428377050096497e-06,"[5, 11, 14, 16, 13, 12, 8, 3, 15, 9, 19, 4, 6, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",25
27,4.57184656882915e-05,3.331889514543698e-05,4.3073564820041695e-05,0.00043073564820041697,1.2399570542854526e-05,"[5, 11, 14, 16, 13, 12, 8, 3, 15, 9, 19, 4, 6, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",25
28,4.57184656882915e-05,4.221368567689645e-05,4.432279304552847e-05,0.0004432279304552847,3.5047800113950523e-06,"[5, 11, 14, 16, 13, 12, 8, 3, 15, 9, 19, 4, 6, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",25
29,4.57184656882915e-05,4.210349037935245e-05,4.417656608932866e-05,0.00044176566089328655,3.6149753089390554e-06,"[5, 11, 14, 16, 13, 12, 8, 3, 15, 9, 19, 4, 6, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",25
30,4.6176579239009974e-05,3.5458478122118996e-05,4.399856903787953e-05,0.00043998569037879525,1.0718101116890978e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",30
31,4.6176579239009974e-05,3.769317753486619e-05,4.361476403554133e-05,0.0004361476403554133,8.483401704143785e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",30
32,4.62000462000462e-05,3.3973161202649904e-05,4.1788960267384245e-05,0.00041788960267384243,1.2226884997396297e-05,"[5, 6, 14, 16, 13, 12, 8, 11, 3, 9, 19, 4, 15, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",32
33,4.62000462000462e-05,3.901677721420211e-05,4.3958312845324904e-05,0.000439583128453249,7.183268985844092e-06,"[5, 6, 14, 16, 13, 12, 8, 11, 3, 9, 19, 4, 15, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",32
34,4.62000462000462e-05,3.5755148741418764e-05,4.3721903333878806e-05,0.00043721903333878803,1.0444897458627437e-05,"[5, 6, 14, 16, 13, 12, 8, 11, 3, 9, 19, 4, 15, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",32
35,4.62000462000462e-05,3.308628904182107e-05,4.286860168947283e-05,0.00042868601689472835,1.311375715822513e-05,"[5, 6, 14, 16, 13, 12, 8, 11, 3, 9, 19, 4, 15, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",32
36,4.6176579239009974e-05,3.308628904182107e-05,4.1515277351284014e-05,0.0004151527735128401,1.3090290197188902e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
37,4.6176579239009974e-05,3.308628904182107e-05,4.2907566655378464e-05,0.00042907566655378467,1.3090290197188902e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
38,4.6176579239009974e-05,3.308628904182107e-05,4.160296010603701e-05,0.0004160296010603701,1.3090290197188902e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
39,4.6176579239009974e-05,3.308628904182107e-05,4.412047815385052e-05,0.00044120478153850524,1.3090290197188902e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
40,4.6176579239009974e-05,3.235722375020223e-05,3.947525812886057e-05,0.0003947525812886057,1.381935548880774e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
41,4.6176579239009974e-05,3.500910236661532e-05,4.3322267306840694e-05,0.0004332226730684069,1.116747687239465e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
42,4.6176579239009974e-05,4.0048057669203045e-05,4.3955330177272535e-05,0.0004395533017727254,6.128521569806929e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
43,4.6176579239009974e-05,3.500910236661532e-05,4.241313908788734e-05,0.0004241313908788734,1.116747687239465e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
44,4.6176579239009974e-05,3.817230980646639e-05,4.3600905149690324e-05,0.00043600905149690326,8.004269432543584e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
45,4.6176579239009974e-05,4.286694101508916e-05,4.484216112408881e-05,0.0004484216112408881,3.3096382239208136e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
46,4.6176579239009974e-05,4.1638907395069954e-05,4.48781954368357e-05,0.000448781954368357,4.53767184394002e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
47,4.8164916674694154e-05,4.3040371868812945e-05,4.5790468556111676e-05,0.00045790468556111674,5.124544805881209e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 10]",47
48,4.8164916674694154e-05,3.081189339084887e-05,4.429538803086142e-05,0.0004429538803086142,1.7353023283845285e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 10]",47
49,4.8164916674694154e-05,4.343293954134816e-05,4.5481962419713586e-05,0.00045481962419713584,4.7319771333459966e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 10]",47
50,4.947555907381753e-05,4.092490280335584e-05,4.485946687133472e-05,0.00044859466871334725,8.550656270461692e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 14]",50
51,4.947555907381753e-05,4.409948844593403e-05,4.7212547097910826e-05,0.00047212547097910825,5.376070627883503e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 14]",50
52,4.947555907381753e-05,4.423995752964077e-05,4.725262744597007e-05,0.0004725262744597007,5.235601544176761e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 14]",50
53,4.947555907381753e-05,4.423995752964077e-05,4.8284961010535954e-05,0.00048284961010535956,5.235601544176761e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 14]",50
54,4.947555907381753e-05,3.4880881788691616e-05,4.4217459722405354e-05,0.00044217459722405356,1.4594677285125915e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 14]",50
55,4.947555907381753e-05,3.512222534419781e-05,4.39121637036634e-05,0.000439121637036634,1.435333372961972e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 14]",50
56,4.947555907381753e-05,3.247807729782397e-05,4.527181888278054e-05,0.0004527181888278054,1.6997481775993564e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 14]",50
57,4.947555907381753e-05,4.267850283812044e-05,4.754644286919067e-05,0.0004754644286919067,6.7970562356970915e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 14]",50
58,4.947555907381753e-05,4.088976120379457e-05,4.752365908736792e-05,0.00047523659087367917,8.58579787002296e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 14]",50
59,4.947555907381753e-05,3.5217467864060575e-05,4.5732624396644986e-05,0.00045732624396644983,1.4258091209756956e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 14]",50
60,4.947555907381753e-05,3.5217467864060575e-05,4.634397008118708e-05,0.0004634397008118708,1.4258091209756956e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 14]",50
61,4.947555907381753e-05,4.1727519298977675e-05,4.779999598292392e-05,0.0004779999598292392,7.748039774839856e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 14]",50
62,4.947555907381753e-05,3.4327692149256805e-05,4.509367042499238e-05,0.0004509367042499238,1.5147866924560726e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 1, 18, 19, 21, 22, 17, 7, 20, 14]",50
63,5.016554630279924e-05,3.4327692149256805e-05,4.516266914789055e-05,0.00045162669147890555,1.5837854153542435e-05,"[5, 1, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 11, 18, 19, 21, 22, 17, 7, 20, 14]",63
64,5.016554630279924e-05,4.1967433271781096e-05,4.8423182237560275e-05,0.00048423182237560273,8.198113031018144e-06,"[5, 1, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 11, 18, 19, 21, 22, 17, 7, 20, 14]",63
65,5.016554630279924e-05,3.531821713639895e-05,4.7731335817538824e-05,0.00047731335817538826,1.4847329166400289e-05,"[5, 1, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 11, 18, 19, 21, 22, 17, 7, 20, 14]",63
66,5.016554630279924e-05,3.531821713639895e-05,4.607782530674841e-05,0.0004607782530674841,1.4847329166400289e-05,"[5, 1, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 11, 18, 19, 21, 22, 17, 7, 20, 14]",63
67,5.016554630279924e-05,3.562649185934661e-05,4.677555369788711e-05,0.00046775553697887113,1.4539054443452633e-05,"[5, 1, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 11, 18, 19, 21, 22, 17, 7, 20, 14]",63
68,5.016554630279924e-05,3.810249571346923e-05,4.69635325142901e-05,0.00046963532514290103,1.206305058933001e-05,"[5, 1, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 11, 18, 19, 21, 22, 17, 7, 20, 14]",63
69,5.016554630279924e-05,3.439972480220158e-05,4.4426710993130146e-05,0.00044426710993130146,1.576582150059766e-05,"[5, 1, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 11, 18, 19, 21, 22, 17, 7, 20, 14]",63
70,5.016554630279924e-05,3.653768862581753e-05,4.627904815545866e-05,0.0004627904815545866,1.3627857676981713e-05,"[5, 1, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 11, 18, 19, 21, 22, 17, 7, 20, 14]",63
71,5.016554630279924e-05,3.358635050715389e-05,4.493257248345101e-05,0.00044932572483451005,1.6579195795645347e-05,"[5, 1, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 11, 18, 19, 21, 22, 17, 7, 20, 14]",63
72,5.016554630279924e-05,3.513950383020592e-05,4.7337693757033034e-05,0.00047337693757033036,1.5026042472593322e-05,"[5, 1, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 11, 18, 19, 21, 22, 17, 7, 20, 14]",63
73,5.016554630279924e-05,4.168577264579599e-05,4.806522489398536e-05,0.00048065224893985357,8.479773657003253e-06,"[5, 1, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 11, 18, 19, 21, 22, 17, 7, 20, 14]",63
74,5.016554630279924e-05,4.350663476180117e-05,4.731669362943791e-05,0.00047316693629437907,6.658911540998068e-06,"[5, 1, 4, 16, 13, 12, 8, 3, 15, 10, 0, 9, 6, 2, 11, 18, 19, 21, 22, 17, 7, 20, 14]",63
75,5.435964340073929e-05,4.0330711837063925e-05,4.811710528457583e-05,0.00048117105284575833,1.4028931563675363e-05,"[5, 1, 4, 16, 13, 12, 2, 3, 15, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 20, 14]",75
76,5.435964340073929e-05,4.3023706062040185e-05,4.858406446651106e-05,0.00048584064466511065,1.1335937338699103e-05,"[5, 1, 4, 16, 13, 12, 2, 3, 15, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 20, 14]",75
77,5.435964340073929e-05,4.473472309206406e-05,5.038652127455451e-05,0.0005038652127455451,9.62492030867523e-06,"[5, 1, 4, 16, 13, 12, 2, 3, 15, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 20, 14]",75
78,5.435964340073929e-05,4.473472309206406e-05,5.0549003959226406e-05,0.0005054900395922641,9.62492030867523e-06,"[5, 1, 4, 16, 13, 12, 2, 3, 15, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 20, 14]",75
79,5.435964340073929e-05,4.473472309206406e-05,5.072185010330164e-05,0.0005072185010330164,9.62492030867523e-06,"[5, 1, 4, 16, 13, 12, 2, 3, 15, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 20, 14]",75
80,5.435964340073929e-05,5.00776203114828e-05,5.300992985986725e-05,0.0005300992985986725,4.28202308925649e-06,"[5, 1, 4, 16, 13, 12, 2, 3, 15, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 20, 14]",75
81,5.435964340073929e-05,4.805612955932529e-05,5.1627738752818954e-05,0.0005162773875281895,6.303513841413995e-06,"[5, 1, 4, 16, 13, 12, 2, 3, 15, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 20, 14]",75
82,5.435964340073929e-05,4.512839027031906e-05,5.161531799866604e-05,0.0005161531799866604,9.23125313042023e-06,"[5, 1, 4, 16, 13, 12, 2, 3, 15, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 20, 14]",75
83,5.435964340073929e-05,4.805612955932529e-05,5.2040762323272416e-05,0.0005204076232327242,6.303513841413995e-06,"[5, 1, 4, 16, 13, 12, 2, 3, 15, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 20, 14]",75
84,5.5466193355150034e-05,4.257130693912303e-05,5.112813695697575e-05,0.0005112813695697575,1.2894886416027e-05,"[5, 1, 15, 16, 13, 12, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 20, 14]",84
85,5.5466193355150034e-05,4.1533413631266354e-05,5.1931237809773265e-05,0.0005193123780977327,1.393277972388368e-05,"[5, 1, 15, 16, 13, 12, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 20, 14]",84
86,5.8861616339984696e-05,4.223329673114283e-05,5.227847461560832e-05,0.0005227847461560832,1.6628319608841865e-05,"[5, 1, 15, 16, 13, 12, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",86
87,5.8861616339984696e-05,4.71342383107089e-05,5.515219664871733e-05,0.0005515219664871733,1.1727378029275795e-05,"[5, 1, 15, 16, 13, 12, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",86
88,5.8861616339984696e-05,5.047191238076011e-05,5.6324934451644906e-05,0.000563249344516449,8.389703959224589e-06,"[5, 1, 15, 16, 13, 12, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",86
89,5.8861616339984696e-05,3.6310820624546116e-05,5.2107793775492494e-05,0.0005210779377549249,2.255079571543858e-05,"[5, 1, 15, 16, 13, 12, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",86
90,5.8861616339984696e-05,4.487524681385748e-05,5.3357022173282623e-05,0.0005335702217328262,1.3986369526127218e-05,"[5, 1, 15, 16, 13, 12, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",86
91,5.8861616339984696e-05,4.270037149323199e-05,5.335114640633329e-05,0.0005335114640633329,1.6161244846752705e-05,"[5, 1, 15, 16, 13, 12, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",86
92,5.9091177687171306e-05,4.803996925441968e-05,5.523446779837066e-05,0.0005523446779837066,1.1051208432751629e-05,"[5, 12, 15, 16, 13, 1, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",92
93,5.9091177687171306e-05,3.8654812524159255e-05,5.296493832052886e-05,0.0005296493832052886,2.043636516301205e-05,"[5, 12, 15, 16, 13, 1, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",92
94,5.9091177687171306e-05,3.8654812524159255e-05,5.3413760439159286e-05,0.0005341376043915928,2.043636516301205e-05,"[5, 12, 15, 16, 13, 1, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",92
95,5.9091177687171306e-05,4.4632894443204644e-05,5.595446420583154e-05,0.0005595446420583154,1.4458283243966662e-05,"[5, 12, 15, 16, 13, 1, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",92
96,5.9091177687171306e-05,4.7785157929946956e-05,5.779958680458704e-05,0.0005779958680458704,1.130601975722435e-05,"[5, 12, 15, 16, 13, 1, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",92
97,5.9091177687171306e-05,4.072656186364747e-05,5.5275121639284774e-05,0.0005527512163928477,1.8364615823523837e-05,"[5, 12, 15, 16, 13, 1, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",92
98,5.9091177687171306e-05,4.3628113956633656e-05,5.565552380538732e-05,0.0005565552380538732,1.546306373053765e-05,"[5, 12, 15, 16, 13, 1, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",92
99,5.9091177687171306e-05,4.81278275098662e-05,5.5117006005808536e-05,0.0005511700600580854,1.0963350177305105e-05,"[5, 12, 15, 16, 13, 1, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",92
100,5.9091177687171306e-05,3.783006733751986e-05,5.316472413364398e-05,0.0005316472413364398,2.1261110349651446e-05,"[5, 12, 15, 16, 13, 1, 2, 3, 4, 10, 0, 9, 6, 8, 11, 18, 19, 21, 22, 17, 7, 14, 20]",92
