0,1
generations,20
cross_over_prob,0.76
mutation_prob,0.2
population_size,15
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
3,4.7087630079578097e-05,3.669455452810803e-05,3.9730544997511415e-05,0.0005959581749626713,1.0393075551470069e-05,"[22, 19, 16, 0, 3, 12, 13, 2, 6, 18, 9, 5, 14, 17, 4, 21, 11, 8, 20, 7, 1, 10, 15]",3
4,4.7087630079578097e-05,3.549875754348598e-05,4.0357265442364764e-05,0.0006053589816354714,1.1588872536092116e-05,"[22, 19, 16, 0, 3, 12, 13, 2, 6, 18, 9, 5, 14, 17, 4, 21, 11, 8, 20, 7, 1, 10, 15]",3
5,4.7087630079578097e-05,3.949915076825848e-05,4.208606767266585e-05,0.0006312910150899877,7.588479311319614e-06,"[22, 19, 16, 0, 3, 12, 13, 2, 6, 18, 9, 5, 14, 17, 4, 21, 11, 8, 20, 7, 1, 10, 15]",3
6,4.7087630079578097e-05,3.6667644470519214e-05,4.1718869796106263e-05,0.0006257830469415939,1.0419985609058882e-05,"[22, 19, 16, 0, 3, 12, 13, 2, 6, 18, 9, 5, 14, 17, 4, 21, 11, 8, 20, 7, 1, 10, 15]",3
7,4.9118326047448304e-05,3.6667644470519214e-05,4.27814675680385e-05,0.0006417220135205775,1.245068157692909e-05,"[22, 19, 16, 0, 3, 12, 13, 2, 10, 18, 9, 5, 14, 17, 4, 21, 11, 8, 20, 7, 1, 6, 15]",7
8,4.9118326047448304e-05,4.371966947929874e-05,4.3252148754927144e-05,0.0006487822313239072,5.3986565681495645e-06,"[22, 19, 16, 0, 3, 12, 13, 2, 10, 18, 9, 5, 14, 17, 4, 21, 11, 8, 20, 7, 1, 6, 15]",7
9,5.067653169817058e-05,4.371966947929874e-05,4.37958273369655e-05,0.0006569374100544825,6.95686221887184e-06,"[22, 19, 16, 0, 3, 12, 13, 20, 6, 18, 9, 5, 14, 17, 4, 21, 11, 8, 2, 7, 1, 10, 15]",9
10,5.132679772109018e-05,4.371966947929874e-05,4.437743590139443e-05,0.0006656615385209165,7.607128241791444e-06,"[22, 19, 16, 0, 3, 8, 13, 2, 10, 18, 9, 5, 14, 17, 12, 21, 11, 4, 20, 7, 1, 6, 15]",10
11,5.132679772109018e-05,4.260213862735909e-05,4.4087754712328595e-05,0.0006613163206849289,8.72465909373109e-06,"[22, 19, 16, 0, 3, 8, 13, 2, 10, 18, 9, 5, 14, 17, 12, 21, 11, 4, 20, 7, 1, 6, 15]",10
12,5.132679772109018e-05,3.89529448426301e-05,4.243199731167276e-05,0.0006364799596750914,1.2373852878460081e-05,"[22, 19, 16, 0, 3, 8, 13, 2, 10, 18, 9, 5, 14, 17, 12, 21, 11, 4, 20, 7, 1, 6, 15]",10
13,5.163688939378292e-05,3.89529448426301e-05,4.2294580343269696e-05,0.0006344187051490455,1.2683944551152815e-05,"[22, 19, 16, 0, 3, 8, 13, 7, 10, 18, 9, 5, 14, 17, 12, 21, 11, 4, 20, 2, 1, 6, 15]",13
14,5.163688939378292e-05,3.784724850503368e-05,4.299958884522013e-05,0.0006449938326783019,1.3789640888749236e-05,"[22, 19, 16, 0, 3, 8, 13, 7, 10, 18, 9, 5, 14, 17, 12, 21, 11, 4, 20, 2, 1, 6, 15]",13
15,5.163688939378292e-05,4.085467990358296e-05,4.386888146727861e-05,0.0006580332220091792,1.078220949019996e-05,"[22, 19, 16, 0, 3, 8, 13, 7, 10, 18, 9, 5, 14, 17, 12, 21, 11, 4, 20, 2, 1, 6, 15]",13
16,5.29829394934831e-05,4.085467990358296e-05,4.530293544476146e-05,0.0006795440316714219,1.2128259589900143e-05,"[22, 19, 14, 0, 3, 8, 13, 7, 10, 18, 9, 5, 16, 17, 12, 21, 11, 4, 20, 2, 1, 6, 15]",16
17,5.29829394934831e-05,4.085467990358296e-05,4.562501655519566e-05,0.0006843752483279349,1.2128259589900143e-05,"[22, 19, 14, 0, 3, 8, 13, 7, 10, 18, 9, 5, 16, 17, 12, 21, 11, 4, 20, 2, 1, 6, 15]",16
18,5.29829394934831e-05,4.101386268558773e-05,4.566490904178938e-05,0.0006849736356268407,1.1969076807895371e-05,"[22, 19, 14, 0, 3, 8, 13, 7, 10, 18, 9, 5, 16, 17, 12, 21, 11, 4, 20, 2, 1, 6, 15]",16
19,5.363080553469913e-05,3.804740706920823e-05,4.6288750037842504e-05,0.0006943312505676376,1.55833984654909e-05,"[9, 19, 14, 0, 3, 8, 13, 7, 10, 18, 22, 5, 16, 17, 12, 21, 11, 4, 20, 2, 1, 6, 15]",19

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
0,4.951475539710834e-05,3.5020136578532657e-05,4.0063232688635666e-05,0.000600948490329535,1.449461881857568e-05,"[22, 17, 19, 1, 13, 14, 12, 20, 2, 16, 18, 6, 4, 7, 11, 21, 9, 15, 10, 8, 3, 5, 0]",0
1,4.951475539710834e-05,3.53082409434362e-05,3.907777700574852e-05,0.0005861666550862278,1.420651445367214e-05,"[22, 17, 19, 1, 13, 14, 12, 20, 2, 16, 18, 6, 4, 7, 11, 21, 9, 15, 10, 8, 3, 5, 0]",0
2,5.3424511165722836e-05,3.5535339895526104e-05,4.024197647136108e-05,0.0006036296470704162,1.7889171270196733e-05,"[6, 22, 18, 17, 7, 14, 3, 12, 4, 19, 9, 11, 21, 10, 16, 15, 5, 13, 2, 0, 1, 8, 20]",2
3,5.3424511165722836e-05,3.556314235925887e-05,4.2057285959560834e-05,0.0006308592893934126,1.786136880646397e-05,"[6, 22, 18, 17, 7, 14, 3, 12, 4, 19, 9, 11, 21, 10, 16, 15, 5, 13, 2, 0, 1, 8, 20]",2
4,5.3424511165722836e-05,3.620040544454098e-05,4.4703762070571546e-05,0.0006705564310585732,1.722410572118186e-05,"[6, 22, 18, 17, 7, 14, 3, 12, 4, 19, 9, 11, 21, 10, 16, 15, 5, 13, 2, 0, 1, 8, 20]",2
