0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.99
population_size,20
chromosome_bits,30
elitism,True
convergence,0.01
annealing,True
reverse_annealing,False

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9097359949132104,0.0020276748745633308,0.22529421599260574,0.9077083200386471,4.505884319852115,111101000010110001001010010010,1
1,0.9172028225773237,0.060734608492212204,0.5075101277455586,0.8564682140851114,10.150202554911171,111101010010110001001010010010,2
2,0.9172028225773237,0.30790773042034836,0.6519291299430193,0.6092950921569753,13.038582598860387,111101010010110001001010010010,2
3,0.9780360767047763,0.3587351284465387,0.709705127711074,0.6193009482582377,14.19410255422148,111111010010110001001010010010,4
4,0.9780563028047252,0.009925821642391437,0.6990475905990652,0.9681304811623338,13.980951811981305,111111010010110011110101110110,5
5,0.9780860454987962,0.5596037205107002,0.8459612779416508,0.418482324988096,16.919225558833016,111111010010110111110010001000,6
6,0.9959846425034881,0.5591235440416905,0.8811410238744749,0.43686109846179755,17.622820477489498,111111110111110001001010110110,7
7,0.9959846425034881,0.5403333325508163,0.8258815584900658,0.4556513099526718,16.517631169801316,111111110111110001001010110110,7
8,0.9959846425034881,0.45167830774591583,0.8556828599292501,0.5443063347575723,17.113657198585003,111111110111110001001010110110,7
9,0.9974507918972865,0.5954098086184588,0.9074211293548258,0.40204098327882765,18.148422587096515,111111111010110001101010000010,10
10,0.9975117761841847,0.4523239220884939,0.8826266449177123,0.5451878540956908,17.652532898354245,111111111010111001101010010000,11
11,0.9979390161070448,0.2467364019355911,0.8539667810473516,0.7512026141714537,17.07933562094703,111111111011110001101110010010,12
12,0.9979391314719809,0.4569338719549266,0.9058022221004525,0.5410052595170542,18.11604444200905,111111111011110001101111010000,13
13,0.9979391314719809,0.822507521518822,0.9765015782023608,0.17543160995315887,19.530031564047217,111111111011110001101111010000,13
14,0.9979391314719809,0.8228880913632358,0.9708756862233896,0.17505104010874506,19.417513724467792,111111111011110001101111010000,13
15,0.9979391333327057,0.7634480041855943,0.9619080646203348,0.23449112914711134,19.238161292406698,111111111011110001101111010001,16
16,0.9979391333327057,0.9549937307153542,0.9866705232038949,0.04294540261735147,19.7334104640779,111111111011110001101111010001,16
17,0.9979391333327057,0.23153129890668137,0.9522821371916708,0.7664078344260243,19.045642743833415,111111111011110001101111010001,16
18,0.9979391333327057,0.9655854384691335,0.9926348740214331,0.0323536948635722,19.852697480428663,111111111011110001101111010001,16
19,0.9979999855444336,0.9655204286586335,0.9944955402144572,0.032479556885800065,19.889910804289144,111111111011111001101110010000,20
20,0.9979999874052151,0.9655854384691335,0.9962166409727342,0.032414548936081644,19.924332819454683,111111111011111001101110010001,21

1.1397116113919523

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9984943410406119,1.0949957490593312e-05,0.3610370493628721,0.9984833910831212,7.220740987257442,111111111100111010100100110110,1
