0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,20
chromosome_bits,30
elitism,True
convergence,0.01
annealing,True
reverse_annealing,True
cycles,True

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.6287514891272012,0.012724394553575573,0.24490754568639014,0.6160270945736257,4.898150913727803,110010101111111000000100101111,1
1,0.6287514891272012,0.07853974465290187,0.40979196134201407,0.5502117444742993,8.195839226840281,110010101111111000000100101111,1
2,0.7317750536456745,0.07853974465290187,0.4806065402633866,0.6532353089927727,9.612130805267732,110110101111111000000100101111,3
3,0.7317750536456745,0.309149113721723,0.5455711648280657,0.42262593992395153,10.911423296561313,110110101111111000000100101111,3
4,0.7317750536456745,0.3645313073002166,0.6245844692190581,0.3672437463454579,12.491689384381162,110110101111111000000100101111,3
5,0.7317750536456745,0.5562000580961167,0.6796004466906018,0.1755749955495578,13.592008933812036,110110101111111000000100101111,3
6,0.7317750536456745,0.5562000580961167,0.6923486653222266,0.1755749955495578,13.846973306444532,110110101111111000000100101111,3
7,0.7317750536456745,0.5798342221028451,0.7062786137208688,0.15194083154282945,14.125572274417376,110110101111111000000100101111,3
8,0.7317750536456745,0.7317746457408603,0.731775033250434,4.0790481425911906e-07,14.635500665008681,110110101111111000000100101111,3

0.1732749553365096

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.979755341222491,0.0035443452061657346,0.4070546534646636,0.9762109960163252,8.141093069293271,111111010110010100111011001010,1
1,0.979755341222491,0.1387093659110601,0.7964311483063695,0.8410459753114309,15.92862296612739,111111010110010100111011001010,1
2,0.979755341222491,0.1387093659110601,0.818991903821885,0.8410459753114309,16.3798380764377,111111010110010100111011001010,1
3,0.979755341222491,0.6963601446880979,0.9153053362707402,0.28339519653439305,18.306106725414804,111111010110010100111011001010,1
4,0.979755341222491,0.6963601446880979,0.921202060015408,0.28339519653439305,18.42404120030816,111111010110010100111011001010,1
5,0.979755341222491,0.695697331340136,0.9107316043700788,0.28405800988235497,18.214632087401576,111111010110010100111011001010,1
6,0.9797553707216021,0.6963601446880979,0.8980109039713471,0.2833952260335042,17.96021807942694,111111010110010100111011011010,7
7,0.9797628930094696,0.6963601446880979,0.853803700443873,0.2834027483213717,17.07607400887746,111111010110010101111011001010,8
8,0.9797628930094696,0.34162362273845764,0.8328153715975416,0.638139270271012,16.656307431950832,111111010110010101111011001010,8
9,0.9952824360408945,0.6963597467761471,0.9159338020350682,0.2989226892647474,18.318676040701366,111111110110010100111011011010,10
10,0.9952824360408945,0.6963665112947721,0.952195830776265,0.2989159247461224,19.0439166155253,111111110110010100111011011010,10
11,0.9952824360408945,0.5473424056242996,0.9305789864812481,0.4479400304165949,18.611579729624964,111111110110010100111011011010,10
12,0.9952824360408945,0.6963665112947721,0.9679300677265497,0.2989159247461224,19.358601354530993,111111110110010100111011011010,10
13,0.9952824360408945,0.547342383575769,0.9471099439821901,0.44794005246512547,18.9421988796438,111111110110010100111011011010,10
14,0.9952824360408945,0.6963665112947721,0.9695311174774577,0.2989159247461224,19.390622349549155,111111110110010100111011011010,10
15,0.9952824360408945,0.979755341222491,0.9844799329953451,0.01552709481840353,19.689598659906903,111111110110010100111011011010,10
16,0.9952829117520254,0.979755341222491,0.9852895431854888,0.015527570529534462,19.705790863709776,111111110110010100111111011010,17
17,0.9952829117520254,0.979755341222491,0.9868362349418118,0.015527570529534462,19.736724698836237,111111110110010100111111011010,17
18,0.9952829117520254,0.979755341222491,0.9859843988252995,0.015527570529534462,19.71968797650599,111111110110010100111111011010,17
19,0.9952829117520254,0.979755341222491,0.9883044721381191,0.015527570529534462,19.766089442762382,111111110110010100111111011010,17
20,0.9952829117520254,0.979755341222491,0.9914070606307155,0.015527570529534462,19.82814121261431,111111110110010100111111011010,17

1.0171500847174713

